,City,Lat,Lng,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date
374,Rognan,67.1,15.39,42.01,86,83,1.43,NO,1603975655
375,Nador,35.17,-2.93,73.4,56,0,6.93,MA,1603975655
376,Teguise,29.06,-13.56,78.8,57,20,18.34,ES,1603975655
377,Bubaque,11.28,-15.83,83.28,73,100,8.03,GW,1603975655
378,Madingou,-4.15,13.55,87.08,60,40,4.03,CG,1603975656
379,Provideniya,64.38,-173.3,24.62,90,0,6.13,RU,1603975656
380,Gweru,-19.45,29.82,90.64,12,0,9.1,ZW,1603975656
381,Verāval,20.9,70.37,81.54,58,95,6.78,IN,1603975656
382,Saskylakh,71.92,114.08,-1.53,86,0,2.68,RU,1603975656
383,Chicama,-7.84,-79.15,66.65,74,57,5.79,PE,1603975656
384,Casisang,8.14,125.12,79.0,89,25,4.0,PH,1603975656
385,Labuhan,-6.88,112.21,84.02,75,16,10.67,ID,1603975656
386,Bagdarin,54.43,113.6,21.22,94,3,2.19,RU,1603975656
387,Lowestoft,52.48,1.75,53.01,98,100,3.0,GB,1603975657
388,Bolgatanga,10.79,-0.85,100.02,16,0,2.26,GH,1603975657
389,Derzhavīnsk,51.1,66.32,36.21,81,0,12.26,KZ,1603975657
390,Rudnogorsk,57.26,103.75,26.62,97,35,5.57,RU,1603975657
391,Portland,45.52,-122.68,50.0,87,90,3.36,US,1603975495
392,Srīvardhan,18.03,73.02,80.24,77,0,5.39,IN,1603975657
393,Upington,-28.45,21.26,80.6,22,0,10.29,ZA,1603975657
394,Kudat,6.88,116.85,82.4,83,20,3.36,MY,1603975477
395,Port-Gentil,-0.72,8.78,86.0,70,40,10.29,GA,1603975657
396,Rivière-du-Loup,47.83,-69.53,37.4,69,69,6.93,CA,1603975569
397,Lakefield,43.68,-95.17,28.4,92,90,10.29,US,1603975658
398,Ballina,-28.87,153.57,62.6,93,90,4.7,AU,1603975658
399,Santa Catarina de Tepehuanes,25.35,-105.73,42.24,65,0,3.65,MX,1603975658
400,Yacuiba,-22.04,-63.68,60.8,82,90,11.41,BO,1603975658
401,Atasū,48.68,71.64,35.55,74,10,9.35,KZ,1603975658
402,Vyzhnytsya,48.25,25.19,60.44,54,32,4.52,UA,1603975658
403,Marystown,47.17,-55.15,39.38,73,91,7.61,CA,1603975385
404,Rongcheng,30.63,117.85,61.36,74,69,4.5,CN,1603975659
405,Kjøllefjord,70.95,27.35,35.6,93,90,20.8,NO,1603975659
406,Broken Hill,-31.95,141.43,59.0,87,40,13.87,AU,1603975659
407,Katobu,-4.94,122.53,80.53,77,92,5.84,ID,1603975659
408,Mnogovershinnyy,53.94,139.92,30.4,99,85,3.29,RU,1603975659
409,Pangnirtung,66.15,-65.71,12.2,66,75,3.36,CA,1603975659
410,Sioux Lookout,50.1,-91.92,14.0,78,90,2.24,CA,1603975660
411,Ciudad Ojeda,10.2,-71.31,81.66,77,88,5.84,VE,1603975660
412,Walvis Bay,-22.96,14.51,64.4,63,90,9.17,NA,1603975660
413,Adana Province,36.98,35.29,87.8,39,0,6.93,TR,1603975660
414,Suozhen,36.95,118.1,55.53,50,100,2.82,CN,1603975660
415,Muyuka,4.29,9.41,80.6,94,75,4.7,CM,1603975660
416,Paamiut,61.99,-49.67,27.3,87,100,9.84,GL,1603975660
417,Singaraja,-8.11,115.09,81.88,75,100,2.1,ID,1603975660
418,Verkhnevilyuysk,63.45,120.32,-3.14,92,0,3.6,RU,1603975661
419,Marathon,44.9,-89.77,35.6,80,90,9.17,US,1603975661
420,Talnakh,69.49,88.4,5.81,78,95,5.48,RU,1603975661
421,Guanajuato City,21.02,-101.26,50.0,81,20,3.22,MX,1603975661
422,Ribeira Brava,32.65,-17.07,71.6,68,40,12.75,PT,1603975661
423,Calama,-22.47,-68.93,51.8,17,0,16.11,CL,1603975661
424,Fes,34.04,-5.0,80.6,26,0,9.17,MA,1603975391
425,Magadan,59.57,150.8,29.19,91,89,4.76,RU,1603975661
426,Christchurch,-43.53,172.63,54.0,100,99,16.11,NZ,1603975662
427,Ilhéus,-14.79,-39.05,77.0,94,75,11.41,BR,1603975662
428,Lac du Bonnet,50.25,-96.06,23.0,62,0,9.17,CA,1603975662
429,Ostrovnoy,68.05,39.51,43.7,83,17,29.51,RU,1603975662
430,Basoko,1.24,23.62,73.45,88,100,6.38,CD,1603975662
431,Kaélé,10.11,14.45,96.8,22,0,12.75,CM,1603975663
432,Manama,26.22,50.58,86.0,62,20,12.75,BH,1603975589
433,Berlevåg,70.86,29.09,37.4,86,75,13.87,NO,1603975663
434,Alekseyevsk,57.84,108.35,30.61,95,98,7.16,RU,1603975663
435,Meridian,43.61,-116.39,42.8,69,0,4.7,US,1603975624
436,Kumluca,36.37,30.29,74.32,52,0,13.11,TR,1603975663
437,Ljungby,56.83,13.94,48.99,100,75,4.7,SE,1603975663
438,Provincia di Sassari,40.77,8.76,66.2,72,20,9.17,IT,1603975664
439,Yerbogachën,61.28,108.01,17.29,96,100,5.77,RU,1603975664
440,Cockburn Town,21.46,-71.14,82.2,78,0,19.55,TC,1603975664
441,Oskaloosa,41.3,-92.64,37.4,93,1,13.87,US,1603975664
442,Hambantota,6.12,81.12,82.06,78,8,13.85,LK,1603975664
443,Clocolan,-28.91,27.57,82.17,21,100,11.9,ZA,1603975664
444,Tartagal,-22.52,-63.8,60.8,82,90,11.41,AR,1603975664
445,Tual,-5.67,132.75,83.39,69,53,6.17,ID,1603975664
446,Urengoy,65.97,78.37,-1.48,91,0,6.64,RU,1603975665
447,Pisco,-13.7,-76.22,63.0,82,1,2.24,PE,1603975565
448,Tiznit Province,29.58,-9.5,84.87,15,75,21.3,MA,1603975665
449,Kommunisticheskiy,61.68,64.48,39.51,85,100,14.81,RU,1603975665
450,Nacogdoches,31.6,-94.63,42.01,100,1,4.7,US,1603975665
451,Pailón,-17.65,-62.75,77.0,69,75,18.34,BO,1603975666
452,Tema,5.67,-0.02,84.2,74,20,8.05,GH,1603975666
453,Gerāsh,27.67,54.14,87.8,20,0,1.99,IR,1603975666
454,Dęblin,51.56,21.85,64.0,44,80,9.73,PL,1603975666
455,Springdale,36.19,-94.13,46.4,100,90,11.41,US,1603975414
456,Umluj,25.02,37.27,91.38,30,0,13.87,SA,1603975666
457,Ossora,59.24,163.07,31.6,98,97,1.1,RU,1603975666
458,Hargeisa,9.56,44.06,82.89,24,50,9.15,SO,1603975666
459,Lubuagan,17.35,121.17,68.16,95,87,0.72,PH,1603975666
460,Saint-Augustin,51.23,-58.65,30.38,93,100,5.19,CA,1603975666
461,Tazovsky,67.47,78.7,-2.88,93,0,7.38,RU,1603975667
462,Grand Gaube,-20.01,57.66,72.0,73,30,11.99,MU,1603975667
463,Emba,48.83,58.14,43.88,54,0,2.75,KZ,1603975667
464,Uvat,59.14,68.9,37.17,89,97,12.68,RU,1603975667
465,Chingirlau,51.09,54.08,42.31,62,0,7.0,KZ,1603975667
466,Port Hedland,-20.32,118.57,78.8,78,100,12.75,AU,1603975667
467,Tinskoy,56.15,96.92,28.11,89,62,6.38,RU,1603975667
468,Talara,-4.58,-81.27,62.6,93,0,20.8,PE,1603975667
469,Suratgarh,29.32,73.9,75.79,18,0,2.82,IN,1603975668
470,Kapit,2.02,112.93,78.04,84,100,1.54,MY,1603975668
471,Porbandar,21.64,69.61,82.58,59,29,13.69,IN,1603975668
472,Wasilla,61.58,-149.44,21.2,100,90,2.04,US,1603975600
473,Sarangani,5.4,125.46,84.02,74,94,11.68,PH,1603975668
474,Big Spring,32.25,-101.48,41.0,80,40,12.75,US,1603975668
475,Shingū,33.73,135.98,55.22,72,0,7.78,JP,1603975668
476,Pemangkat,1.17,108.97,81.14,81,100,5.06,ID,1603975668
477,Fria,10.42,-13.58,94.28,42,20,1.23,GN,1603975668
478,Virden,39.5,-89.77,45.0,74,100,13.0,US,1603975635
479,Snyder,32.72,-100.92,41.0,80,40,10.29,US,1603975669
480,Healesville,-37.65,145.52,57.0,93,100,1.81,AU,1603975669
481,Pizarro,4.95,-77.37,76.41,85,68,5.17,CO,1603975669
482,Dingle,11.0,122.67,77.09,87,100,6.2,PH,1603975669
483,Phra Nakhon Si Ayutthaya,14.28,100.5,78.8,83,40,6.93,TH,1603975669
484,Cartagena,10.4,-75.51,81.07,82,97,13.73,CO,1603975401
485,Lavrentiya,65.58,-171.0,23.04,88,0,7.56,RU,1603975669
486,Wanaka,-44.7,169.15,50.79,80,22,2.64,NZ,1603975670
487,Ixtapa,20.7,-105.2,75.0,88,5,2.24,MX,1603975670
488,Banda Aceh,5.56,95.32,81.68,71,100,10.36,ID,1603975670
489,Karratha,-20.74,116.85,73.72,82,0,12.33,AU,1603975670
490,Santa Cruz de La Palma,28.68,-17.76,75.2,60,75,5.82,ES,1603975670
491,Khurba,50.41,136.88,35.31,84,7,9.6,RU,1603975670
492,Guadalajara,20.67,-103.33,57.99,82,5,1.68,MX,1603975671
493,Petropavlovsk-Kamchatskiy,53.05,158.65,37.4,100,40,2.24,RU,1603975671
494,San Cristobal,7.77,-72.22,77.0,88,75,3.36,VE,1603975671
495,Ancud,-41.87,-73.82,55.0,87,0,14.99,CL,1603975671
496,Solnechnyy,50.72,136.63,30.56,95,4,6.02,RU,1603975671
497,Kiunga,-6.12,141.29,73.22,97,100,1.36,PG,1603975671
498,Nelson Bay,-32.72,152.15,55.99,100,0,4.7,AU,1603975671
499,South Sioux City,42.47,-96.41,30.2,68,1,18.34,US,1603975671
500,Nehe,48.48,124.83,31.78,85,0,3.47,CN,1603975672
501,Eyl,7.98,49.82,83.17,65,77,12.12,SO,1603975672
502,Várzea Grande,-15.65,-56.13,82.4,65,75,6.93,BR,1603975672
503,Arinos,-15.92,-46.11,87.01,59,28,1.88,BR,1603975672
504,Narsaq,60.92,-46.05,30.2,80,75,1.12,GL,1603975672
505,Mount Darwin,-16.77,31.58,91.13,22,21,7.72,ZW,1603975672
506,Priiskovyy,51.93,116.63,29.26,91,100,1.86,RU,1603975672
507,Jutaí,-5.18,-68.9,84.51,72,100,1.48,BR,1603975673
508,Vila,42.03,-8.16,64.99,67,40,3.36,PT,1603975673
509,Pachuquilla,20.07,-98.7,54.19,81,29,2.98,MX,1603975673
510,Joshīmath,30.57,79.57,49.66,43,0,1.79,IN,1603975673
511,The Pas,53.83,-101.25,19.4,85,90,6.93,CA,1603975389
512,Juneau,58.3,-134.42,41.0,86,90,8.05,US,1603975505
513,Omīdīyeh,30.76,49.7,93.2,14,0,9.17,IR,1603975673
514,Östersund,63.18,14.64,46.4,65,0,5.82,SE,1603975601
515,Ōzu,33.5,132.55,60.8,72,75,6.93,JP,1603975673
516,Xai-Xai,-25.05,33.64,82.96,59,0,17.07,MZ,1603975674
517,Sevlievo,43.03,25.11,59.0,65,100,2.73,BG,1603975674
518,Santa Rosa,14.31,121.11,82.0,94,40,2.24,PH,1603975589
519,Den Helder,52.96,4.76,55.0,71,75,16.11,NL,1603975674
520,Waingapu,-9.66,120.26,82.33,73,100,8.72,ID,1603975674
521,Berdigestyakh,62.1,126.7,-1.55,91,0,1.88,RU,1603975674
522,Goundam,16.41,-3.67,98.4,8,4,12.24,ML,1603975674
523,La Baule-Escoublac,47.29,-2.36,62.6,82,75,18.34,FR,1603975675
524,Sāveh,35.02,50.36,73.04,20,0,7.56,IR,1603975675
525,Prizren,42.21,20.74,64.0,51,20,3.36,XK,1603975675
526,Ketchikan,55.34,-131.65,41.0,100,90,3.53,US,1603975675
527,Vaitape,-16.52,-151.75,80.53,75,40,9.42,PF,1603975675
528,Necochea,-38.55,-58.74,55.0,60,2,8.99,AR,1603975675
529,Fort Nelson,58.81,-122.7,24.8,92,75,3.36,CA,1603975675
530,Sur,22.57,59.53,79.36,48,0,6.24,OM,1603975675
531,Naryan-Mar,67.67,53.09,36.84,94,100,11.7,RU,1603975676
532,Nishihara,26.18,127.76,77.0,69,75,5.82,JP,1603975676
533,Riachão do Jacuípe,-11.81,-39.39,78.76,69,98,7.94,BR,1603975676
534,Pacific Grove,36.62,-121.92,48.2,42,1,5.82,US,1603975639
535,Havøysund,71.0,24.66,37.4,74,75,11.41,NO,1603975676
536,Calvinia,-31.47,19.78,64.74,41,0,21.81,ZA,1603975676
537,Ruwi,23.6,58.55,86.0,48,0,8.05,OM,1603975676
538,Ternate,0.8,127.4,82.08,78,100,2.46,ID,1603975676
539,Kudahuvadhoo,2.67,72.89,82.87,77,0,11.99,MV,1603975677
540,Poconé,-16.26,-56.62,82.85,69,100,7.0,BR,1603975677
541,‘Āhuimanu,21.44,-157.84,73.4,100,75,3.36,US,1603975677
542,Sucre,-19.03,-65.26,48.2,70,75,8.05,BO,1603975677
543,Atambua,-9.11,124.89,77.63,80,1,0.92,ID,1603975677
544,Balgazyn,51.0,95.2,30.34,96,100,1.92,RU,1603975677
545,San Juan,-31.54,-68.54,65.71,26,79,11.52,AR,1603975677
546,Biak,-0.91,122.88,78.89,78,99,0.51,ID,1603975678
547,Kyzyl-Mazhalyk,51.13,90.6,29.82,83,55,4.92,RU,1603975678
548,Shenjiamen,29.96,122.3,63.7,70,0,13.44,CN,1603975678
549,Kirakira,-10.45,161.92,79.65,82,100,8.23,SB,1603975678
550,Sūsangerd,31.56,48.18,93.2,16,7,4.7,IR,1603975678
551,Tres Picos,15.87,-93.53,77.86,76,43,3.78,MX,1603975678
552,Pasni,25.26,63.47,82.09,43,0,7.29,PK,1603975448
553,Poum,-20.23,164.02,76.28,75,0,18.21,NC,1603975679
554,Honiara,-9.43,159.95,77.0,100,75,4.43,SB,1603975679
